From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	PubMed ID
SPATA31A5	Q5VU36	reviewed	S31A5_HUMAN	Spermatogenesis-associated protein 31A5 (Protein FAM75A5)	SPATA31A5 FAM75A5	Homo sapiens (Human)	1347	cell differentiation [GO:0030154]; spermatogenesis [GO:0007283]	membrane [GO:0016020]; cell differentiation [GO:0030154]; spermatogenesis [GO:0007283]	GO:0007283; GO:0016020; GO:0030154	15164053
PRKCSH	P14314	reviewed	GLU2B_HUMAN	Glucosidase 2 subunit beta (80K-H protein) (Glucosidase II subunit beta) (Protein kinase C substrate 60.1 kDa protein heavy chain) (PKCSH)	PRKCSH G19P1	Homo sapiens (Human)	528	intracellular signal transduction [GO:0035556]; liver development [GO:0001889]; N-glycan processing [GO:0006491]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; glucosidase II complex [GO:0017177]; intracellular membrane-bounded organelle [GO:0043231]; calcium ion binding [GO:0005509]; phosphoprotein binding [GO:0051219]; protein kinase C binding [GO:0005080]; transmembrane transporter binding [GO:0044325]; intracellular signal transduction [GO:0035556]; liver development [GO:0001889]; N-glycan processing [GO:0006491]	GO:0001889; GO:0005080; GO:0005509; GO:0005783; GO:0005788; GO:0006491; GO:0017177; GO:0035556; GO:0043231; GO:0044325; GO:0051219	2793184; 9043864; 10929008; 14702039; 15057824; 15489334; 12665801; 12529853; 12577059; 21269460; 24275569; 26091039; 25944712; 28375157
PRKCSH	A0A024R7F1	unreviewed	A0A024R7F1_HUMAN	Glucosidase 2 subunit beta	PRKCSH hCG_29964	Homo sapiens (Human)	527	phosphorylation [GO:0016310]	calcium ion binding [GO:0005509]; kinase activity [GO:0016301]; phosphorylation [GO:0016310]	GO:0005509; GO:0016301; GO:0016310	11181995
PRKCSH	A0A0C4DGP4	unreviewed	A0A0C4DGP4_HUMAN	Glucosidase 2 subunit beta	PRKCSH	Homo sapiens (Human)	200				15057824; 21269460; 24275569; 25944712
PRKCSH	A0A0S2Z4A0	unreviewed	A0A0S2Z4A0_HUMAN	Protein kinase C substrate 80K-H isoform 4	PRKCSH	Homo sapiens (Human)	134	phosphorylation [GO:0016310]	kinase activity [GO:0016301]; phosphorylation [GO:0016310]	GO:0016301; GO:0016310	26871637
PRKCSH	A0A0S2Z4D8	unreviewed	A0A0S2Z4D8_HUMAN	Protein kinase C substrate 80K-H isoform 1	PRKCSH	Homo sapiens (Human)	399	phosphorylation [GO:0016310]	calcium ion binding [GO:0005509]; kinase activity [GO:0016301]; phosphorylation [GO:0016310]	GO:0005509; GO:0016301; GO:0016310	26871637
PRKCSH	A0A0S2Z4W7	unreviewed	A0A0S2Z4W7_HUMAN	Protein kinase C substrate 80K-H isoform 2	PRKCSH	Homo sapiens (Human)	406	phosphorylation [GO:0016310]	calcium ion binding [GO:0005509]; kinase activity [GO:0016301]; phosphorylation [GO:0016310]	GO:0005509; GO:0016301; GO:0016310	26871637
PRKCSH	A0A7I2V2T6	unreviewed	A0A7I2V2T6_HUMAN	Glucosidase 2 subunit beta	PRKCSH	Homo sapiens (Human)	171				15057824
PRKCSH	A2VCQ4	unreviewed	A2VCQ4_HUMAN	PRKCSH protein	PRKCSH	Homo sapiens (Human)	181		calcium ion binding [GO:0005509]	GO:0005509	15489334
PRKCSH	K7EIP3	unreviewed	K7EIP3_HUMAN	Glucosidase 2 subunit beta	PRKCSH	Homo sapiens (Human)	62				15057824
PRKCSH	K7EJ70	unreviewed	K7EJ70_HUMAN	Glucosidase 2 subunit beta	PRKCSH	Homo sapiens (Human)	144				15057824; 21269460; 24275569; 25944712
PRKCSH	K7EKX1	unreviewed	K7EKX1_HUMAN	Glucosidase 2 subunit beta	PRKCSH	Homo sapiens (Human)	140				15057824; 21269460; 24275569; 25944712
PRKCSH	K7EL27	unreviewed	K7EL27_HUMAN	Glucosidase 2 subunit beta	PRKCSH	Homo sapiens (Human)	132	N-glycan processing [GO:0006491]	N-glycan processing [GO:0006491]	GO:0006491	15057824
PRKCSH	K7ELL7	unreviewed	K7ELL7_HUMAN	Glucosidase 2 subunit beta	PRKCSH	Homo sapiens (Human)	535	in utero embryonic development [GO:0001701]; liver development [GO:0001889]; negative regulation of neuron projection development [GO:0010977]; nitrogen compound metabolic process [GO:0006807]	endoplasmic reticulum [GO:0005783]; glucosidase II complex [GO:0017177]; calcium ion binding [GO:0005509]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; in utero embryonic development [GO:0001701]; liver development [GO:0001889]; negative regulation of neuron projection development [GO:0010977]; nitrogen compound metabolic process [GO:0006807]	GO:0001701; GO:0001889; GO:0003723; GO:0005509; GO:0005783; GO:0006807; GO:0010977; GO:0017177; GO:0044877	15057824; 21269460; 24275569; 25944712
PRKCSH	K7EPW7	unreviewed	K7EPW7_HUMAN	Glucosidase 2 subunit beta	PRKCSH	Homo sapiens (Human)	168				15057824; 21269460; 24275569; 25944712
MOCOS	Q96EN8	reviewed	MOCOS_HUMAN	Molybdenum cofactor sulfurase (MCS) (MOS) (MoCo sulfurase) (hMCS) (EC 2.8.1.9) (Molybdenum cofactor sulfurtransferase)	MOCOS	Homo sapiens (Human)	888	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; molybdopterin cofactor biosynthetic process [GO:0032324]; molybdopterin cofactor metabolic process [GO:0043545]	cytosol [GO:0005829]; lyase activity [GO:0016829]; Mo-molybdopterin cofactor sulfurase activity [GO:0008265]; molybdenum cofactor sulfurtransferase activity [GO:0102867]; molybdenum ion binding [GO:0030151]; pyridoxal phosphate binding [GO:0030170]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; molybdopterin cofactor biosynthetic process [GO:0032324]; molybdopterin cofactor metabolic process [GO:0043545]	GO:0005829; GO:0006777; GO:0008265; GO:0016829; GO:0030151; GO:0030170; GO:0032324; GO:0043545; GO:0102867	11302742; 14702039; 16177791; 15489334; 17974005; 16973608; 16964243; 18669648; 20068231; 23186163; 24275569; 14624414; 17368066
KIR2DS2	P43631	reviewed	KI2S2_HUMAN	Killer cell immunoglobulin-like receptor 2DS2 (CD158 antigen-like family member J) (NK receptor 183 ActI) (Natural killer-associated transcript 5) (NKAT-5) (p58 natural killer cell receptor clone CL-49) (p58 NK receptor CL-49) (CD antigen CD158j)	KIR2DS2 CD158J NKAT5	Homo sapiens (Human)	304	immune response [GO:0006955]; stimulatory killer cell immunoglobulin-like receptor signaling pathway [GO:0002222]	membrane [GO:0016020]; plasma membrane [GO:0005886]; transmembrane signaling receptor activity [GO:0004888]; immune response [GO:0006955]; stimulatory killer cell immunoglobulin-like receptor signaling pathway [GO:0002222]	GO:0002222; GO:0004888; GO:0005886; GO:0006955; GO:0016020	7749980; 7716543; 8627176; 14607943; 15057824; 12668644
KIR2DS2	A0A0G2JND2	unreviewed	A0A0G2JND2_HUMAN	Killer cell immunoglobulin-like receptor 2DS2	KIR2DS2	Homo sapiens (Human)	342		membrane [GO:0016020]	GO:0016020	15057824
KIR2DS2	A0A0G2JPR7	unreviewed	A0A0G2JPR7_HUMAN	KIR2DS2 protein (Killer cell immunoglobulin-like receptor 2DS2)	KIR2DS2	Homo sapiens (Human)	287		membrane [GO:0016020]	GO:0016020	15057824
KIR2DS2	A0A2R4FYK5	unreviewed	A0A2R4FYK5_HUMAN	Killer cell immunoglobulin-like receptor (Killer cell immunoglobulin-like receptor 2DS2)	KIR2DS2	Homo sapiens (Human)	304		membrane [GO:0016020]	GO:0016020	29549179
KIR2DS2	A0A2R4FYL4	unreviewed	A0A2R4FYL4_HUMAN	Killer cell immunoglobulin-like receptor 2DS2	KIR2DS2	Homo sapiens (Human)	292		membrane [GO:0016020]	GO:0016020	29549179
KIR2DS2	A0A7D4YC15	unreviewed	A0A7D4YC15_HUMAN	Killer cell immunoglobulin-like receptor	KIR2DS2	Homo sapiens (Human)	304		membrane [GO:0016020]	GO:0016020	
KIR2DS2	A0A7D5BR21	unreviewed	A0A7D5BR21_HUMAN	Killer cell immunoglobulin-like receptor	KIR2DS2	Homo sapiens (Human)	304		membrane [GO:0016020]	GO:0016020	
KIR2DS2	A1A4D9	unreviewed	A1A4D9_HUMAN	KIR2DS2 protein	KIR2DS2	Homo sapiens (Human)	284		membrane [GO:0016020]	GO:0016020	15489334
KIR2DS2	B6CAV2	unreviewed	B6CAV2_HUMAN	KIR2DS2	KIR2DS2	Homo sapiens (Human)	297		membrane [GO:0016020]	GO:0016020	
KIR2DS2	B6CAW1	unreviewed	B6CAW1_HUMAN	KIR2DS2	KIR2DS2	Homo sapiens (Human)	297		membrane [GO:0016020]	GO:0016020	
KIR2DS2	B6CDM7	unreviewed	B6CDM7_HUMAN	KIR2DS2	KIR2DS2	Homo sapiens (Human)	297		membrane [GO:0016020]	GO:0016020	
KIR2DS2	D0UWM7	unreviewed	D0UWM7_HUMAN	KIR2DS2	KIR2DS2	Homo sapiens (Human)	304		membrane [GO:0016020]	GO:0016020	
KIR2DS2	K7R1S5	unreviewed	K7R1S5_HUMAN	KIR2DS2 (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor two domains short cytoplasmic tail 2)	KIR2DS2	Homo sapiens (Human)	304		membrane [GO:0016020]	GO:0016020	23394822
KIR2DS2	K7RE42	unreviewed	K7RE42_HUMAN	KIR2DS2S3 (Killer cell immunoglobulin-like receptor two domains short cytoplasmic tail 2)	KIR2DS2S3 KIR2DS2	Homo sapiens (Human)	304		membrane [GO:0016020]	GO:0016020	23394822
KIR2DS2	O75579	unreviewed	O75579_HUMAN	Killer cell inhibitory receptor short form	KIR2DS2	Homo sapiens (Human)	103		membrane [GO:0016020]	GO:0016020	
KIR2DS2	Q14950	unreviewed	Q14950_HUMAN	Killer cell immunoglobulin-like receptor 2DS2 (Nkat5-delta-Ig1)	KIR2DS2	Homo sapiens (Human)	204	immune response [GO:0006955]; natural killer cell activation [GO:0030101]	plasma membrane [GO:0005886]; MHC class I receptor activity [GO:0032393]; immune response [GO:0006955]; natural killer cell activation [GO:0030101]	GO:0005886; GO:0006955; GO:0030101; GO:0032393	8662091; 15057824
KIR2DS2	Q32MZ1	unreviewed	Q32MZ1_HUMAN	KIR2DS2 protein	KIR2DS2	Homo sapiens (Human)	338		membrane [GO:0016020]	GO:0016020	15489334
KIR2DS2	Q6H2G8	unreviewed	Q6H2G8_HUMAN	Natural killer cell inhibitory receptor	KIR2DS2	Homo sapiens (Human)	296		membrane [GO:0016020]	GO:0016020	14607943
