Gene,Protein,Reviewed,Absent Clades,Existence Clades,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Entry Name,Protein names,Gene Names,Organism,Length,Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band
TNFRSF14,Q92956,reviewed,"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",yes,,follicular lymphoma,,,L,Rec,TSG,"Mis, N, F",,,,TNR14_HUMAN,"Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A, Herpesvirus entry mediator A, HveA) (Tumor necrosis factor receptor-like 2, TR2) (CD antigen CD270)",TNFRSF14 HVEA HVEM UNQ329/PRO509,Homo sapiens (Human),283,TNFRSF14,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)",8764,1:2556366-2563829,1,,36.32
SSX2,Q16385,reviewed,"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",yes,,synovial sarcoma,,,M,Dom,"oncogene, fusion",T,SS18,,,SSX2_HUMAN,"Protein SSX2 (Cancer/testis antigen 5.2, CT5.2) (Synovial sarcoma, X breakpoint 2) (Tumor antigen HOM-MEL-40)",SSX2 SSX2A; SSX2B,Homo sapiens (Human),188,SSX2,"synovial sarcoma, X breakpoint 2",6757,X:52696896-52707161,1,,11.22
SSX1,Q16384,reviewed,"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",yes,,synovial sarcoma,,,M,Dom,"oncogene, fusion",T,SS18,,,SSX1_HUMAN,"Protein SSX1 (Cancer/testis antigen 5.1, CT5.1) (Synovial sarcoma, X breakpoint 1)",SSX1,Homo sapiens (Human),188,SSX1,"synovial sarcoma, X breakpoint 1",6756,X:48255317-48267444,1,,11.23
VHL,P40337,reviewed,"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]","[['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",yes,yes,"renal, haemangioma, pheochromocytoma","renal, haemangioma, pheochromocytoma",Von Hippel-Lindau syndrome,"E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,VHL_HUMAN,von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL),VHL,Homo sapiens (Human),213,VHL,von Hippel-Lindau syndrome gene,7428,3:10141008-10152220,1,Yes,25.3
WDCP,Q9H6R7,reviewed,"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",yes,,colorectal,,,E,Dom,fusion,T,ALK,,,WDCP_HUMAN,WD repeat and coiled-coil-containing protein,WDCP C2orf44 PP384,Homo sapiens (Human),721,WDCP,chromosome 2 open reading frame 44,80304,2:24029340-24047353,1,,23.3
RNF213,Q63HN8,reviewed,"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",yes,,ALCL,,,L,Dom,fusion,T,ALK,,,RN213_HUMAN,"E3 ubiquitin-protein ligase RNF213, EC 2.3.2.27, EC 3.6.4.- (ALK lymphoma oligomerization partner on chromosome 17) (E3 ubiquitin-lipopolysaccharide ligase RNF213, EC 2.3.2.-) (Mysterin) (RING finger protein 213)",RNF213 ALO17 C17orf27 KIAA1554 KIAA1618 MYSTR,Homo sapiens (Human),5207,RNF213,ring finger protein 213,57674,17:80260868-80398786,1,Yes,25.3
WRN,Q14191,reviewed,"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",,yes,,"osteosarcoma, meningioma, other tumour types",Werner syndrome,"L, E, M, O",Rec,TSG,"Mis, N, F, S",,,,WRN_HUMAN,"Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN (DNA helicase, RecQ-like type 3) (RecQ protein-like 2) (Werner syndrome protein) [Includes: 3'-5' exonuclease, EC 3.1.-.-; ATP-dependent helicase, EC 3.6.4.12 ]",WRN RECQ3 RECQL2,Homo sapiens (Human),1432,WRN,Werner syndrome (RECQL2),7486,8:31033801-31173769,1,,12
PTK6,Q13882,reviewed,"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",yes,,"renal, gastric, head and neck, ovarian, others",,,E,Dom,"oncogene, TSG","Mis, N",,,,PTK6_HUMAN,"Protein-tyrosine kinase 6, EC 2.7.10.2 (Breast tumor kinase) (Tyrosine-protein kinase BRK)",PTK6 BRK,Homo sapiens (Human),451,PTK6,protein tyrosine kinase 6,5753,20:63528001-63537354,1,Yes,13.33
TMPRSS2,O15393,reviewed,"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",yes,,prostate,,,E,Dom,fusion,T,"ERG, ETV1, ETV4, ETV5",,,TMPS2_HUMAN,"Transmembrane protease serine 2, EC 3.4.21.- (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain ]",TMPRSS2 PRSS10,Homo sapiens (Human),492,TMPRSS2,"transmembrane protease, serine 2",7113,21:41464553-41508065,1,Yes,22.3
FAM47C,Q5HY64,reviewed,"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",yes,,"melanoma, clear cell sarcoma of soft parts, SCLC",,,"E, M",,,Mis,,,,FA47C_HUMAN,Putative protein FAM47C,FAM47C,Homo sapiens (Human),1035,FAM47C,family with sequence similarity 47 member C,442444,X:37008397-37011666,2,,21.1
