Zero Clades,One Clades,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",B2M,P61769,reviewed,B2MG_HUMAN,Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3 ],B2M CDABP0092 HDCMA22P,Homo sapiens (Human),119,yes,,"DLBCL, melanoma, colorectal adenocarcinoma",,,"E, L",Rec,TSG,"Mis, N, F",,yes  ,Immunodeficiency 43,B2M,beta-2-microglobulin,567,15:44711477-44718877,1,Yes,21.1
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",WRN,Q14191,reviewed,WRN_HUMAN,"Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN (DNA helicase, RecQ-like type 3) (RecQ protein-like 2) (Werner syndrome protein) [Includes: 3'-5' exonuclease, EC 3.1.-.-; ATP-dependent helicase, EC 3.6.4.12 ]",WRN RECQ3 RECQL2,Homo sapiens (Human),1432,,yes,,"osteosarcoma, meningioma, other tumour types",Werner syndrome,"L, E, M, O",Rec,TSG,"Mis, N, F, S",,,,WRN,Werner syndrome (RECQL2),7486,8:31033801-31173769,1,,12
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",TMPRSS2,O15393,reviewed,TMPS2_HUMAN,"Transmembrane protease serine 2, EC 3.4.21.- (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain ]",TMPRSS2 PRSS10,Homo sapiens (Human),492,yes,,prostate,,,E,Dom,fusion,T,"ERG, ETV1, ETV4, ETV5",,,TMPRSS2,"transmembrane protease, serine 2",7113,21:41464553-41508065,1,Yes,22.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",PDCD1LG2,Q9BQ51,reviewed,PD1L2_HUMAN,"Programmed cell death 1 ligand 2, PD-1 ligand 2, PD-L2, PDCD1 ligand 2, Programmed death ligand 2 (Butyrophilin B7-DC, B7-DC) (CD antigen CD273)",PDCD1LG2 B7DC CD273 PDCD1L2 PDL2,Homo sapiens (Human),273,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,"oncogene, fusion",T,CIITA,,,PDCD1LG2,programmed cell death 1 ligand 2,80380,9:5510570-5571254,1,Yes,24.1
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",PTK6,Q13882,reviewed,PTK6_HUMAN,"Protein-tyrosine kinase 6, EC 2.7.10.2 (Breast tumor kinase) (Tyrosine-protein kinase BRK)",PTK6 BRK,Homo sapiens (Human),451,yes,,"renal, gastric, head and neck, ovarian, others",,,E,Dom,"oncogene, TSG","Mis, N",,,,PTK6,protein tyrosine kinase 6,5753,20:63528001-63537354,1,Yes,13.33
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",ISX,Q2M1V0,reviewed,ISX_HUMAN,Intestine-specific homeobox (RAX-like homeobox),ISX RAXLX,Homo sapiens (Human),245,yes,,melanoma,,,E,,,Mis,,,,ISX,intestine specific homeobox,91464,22:35066136-35087387,2,,12.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",RNF213,Q63HN8,reviewed,RN213_HUMAN,"E3 ubiquitin-protein ligase RNF213, EC 2.3.2.27, EC 3.6.4.- (ALK lymphoma oligomerization partner on chromosome 17) (E3 ubiquitin-lipopolysaccharide ligase RNF213, EC 2.3.2.-) (Mysterin) (RING finger protein 213)",RNF213 ALO17 C17orf27 KIAA1554 KIAA1618 MYSTR,Homo sapiens (Human),5207,yes,,ALCL,,,L,Dom,fusion,T,ALK,,,RNF213,ring finger protein 213,57674,17:80260868-80398786,1,Yes,25.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",FCGR2B,P31994,reviewed,FCG2B_HUMAN,"Low affinity immunoglobulin gamma Fc region receptor II-b, IgG Fc receptor II-b (CDw32) (Fc-gamma RII-b, Fc-gamma-RIIb, FcRII-b) (CD antigen CD32)",FCGR2B CD32 FCG2 IGFR2,Homo sapiens (Human),310,yes,,ALL,,,L,Dom,"oncogene, fusion",T,?,,,FCGR2B,"Fc fragment of IgG, low affinity IIb, receptor for (CD32)",2213,1:161663161-161678654,1,Yes,23.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",CD274,Q9NZQ7,reviewed,PD1L1_HUMAN,"Programmed cell death 1 ligand 1, PD-L1, PDCD1 ligand 1, Programmed death ligand 1, hPD-L1 (B7 homolog 1, B7-H1) (CD antigen CD274)",CD274 B7H1 PDCD1L1 PDCD1LG1 PDL1,Homo sapiens (Human),290,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,"TSG, fusion",T,CIITA,,,CD274,CD274 molecule,29126,9:5450525-5470547,1,,24.1
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",FCRL4,Q96PJ5,reviewed,FCRL4_HUMAN,"Fc receptor-like protein 4, FcR-like protein 4, FcRL4 (Fc receptor homolog 4, FcRH4) (IFGP family protein 2, hIFGP2) (Immune receptor translocation-associated protein 1) (CD antigen CD307d)",FCRL4 FCRH4 IFGP2 IRTA1,Homo sapiens (Human),515,yes,,B-NHL,,,L,Dom,"oncogene, fusion",T,IGH,,,FCRL4,Fc receptor-like 4,83417,1:157573749-157598080,1,,23.1
