From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
EXTL1,Q92935,reviewed,EXTL1_HUMAN,Exostosin-like 1 (EC 2.4.1.224) (Exostosin-L) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostosis-like protein),EXTL1 EXTL,Homo sapiens (Human),676
CBLL1,Q75N03,reviewed,HAKAI_HUMAN,E3 ubiquitin-protein ligase Hakai (EC 2.3.2.27) (Casitas B-lineage lymphoma-transforming sequence-like protein 1) (c-Cbl-like protein 1) (RING finger protein 188) (RING-type E3 ubiquitin transferase Hakai),CBLL1 HAKAI RNF188,Homo sapiens (Human),491
OR2J3,O76001,reviewed,OR2J3_HUMAN,Olfactory receptor 2J3 (Hs6M1-3) (Olfactory receptor OR6-16) (OR6-6) (Olfactory receptor 6-6),OR2J3,Homo sapiens (Human),311
RASD1,Q9Y272,reviewed,RASD1_HUMAN,Dexamethasone-induced Ras-related protein 1 (Activator of G-protein signaling 1),RASD1 AGS1 DEXRAS1,Homo sapiens (Human),281
KRTAP5-7,Q6L8G8,reviewed,KRA57_HUMAN,Keratin-associated protein 5-7 (Keratin-associated protein 5-3) (Keratin-associated protein 5.3) (Keratin-associated protein 5.7) (Ultrahigh sulfur keratin-associated protein 5.7),KRTAP5-7 KAP5-7 KAP5.3 KRTAP5.3 KRTAP5.7,Homo sapiens (Human),165
RHOT2,Q8IXI1,reviewed,MIRO2_HUMAN,Mitochondrial Rho GTPase 2 (MIRO-2) (hMiro-2) (EC 3.6.5.-) (Ras homolog gene family member T2),RHOT2 ARHT2 C16orf39,Homo sapiens (Human),618
NDUFB4,O95168,reviewed,NDUB4_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 (Complex I-B15) (CI-B15) (NADH-ubiquinone oxidoreductase B15 subunit),NDUFB4,Homo sapiens (Human),129
NRXN2,P58401,reviewed,NRX2B_HUMAN,Neurexin-2-beta (Neurexin II-beta),NRXN2,Homo sapiens (Human),666
KLHL4,Q9C0H6,reviewed,KLHL4_HUMAN,Kelch-like protein 4,KLHL4 KIAA1687,Homo sapiens (Human),718
HSD11B1,P28845,reviewed,DHI1_HUMAN,11-beta-hydroxysteroid dehydrogenase 1 (11-DH) (11-beta-HSD1) (EC 1.1.1.146) (7-oxosteroid reductase) (EC 1.1.1.201) (Corticosteroid 11-beta-dehydrogenase isozyme 1) (Short chain dehydrogenase/reductase family 26C member 1),HSD11B1 HSD11 HSD11L SDR26C1,Homo sapiens (Human),292
