From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
A1CF,Q9NQ94,reviewed,A1CF_HUMAN,APOBEC1 complementation factor (APOBEC1-stimulating protein),A1CF ACF ASP,Homo sapiens (Human),594
ABI1,Q8IZP0,reviewed,ABI1_HUMAN,"Abl interactor 1 (Abelson interactor 1, Abi-1) (Abl-binding protein 4, AblBP4) (Eps8 SH3 domain-binding protein, Eps8-binding protein) (Nap1-binding protein, Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)",ABI1 SSH3BP1,Homo sapiens (Human),508
ABL1,P00519,reviewed,ABL1_HUMAN,"Tyrosine-protein kinase ABL1, EC 2.7.10.2 (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)",ABL1 ABL JTK7,Homo sapiens (Human),1130
ABL2,P42684,reviewed,ABL2_HUMAN,"Tyrosine-protein kinase ABL2, EC 2.7.10.2 (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)",ABL2 ABLL ARG,Homo sapiens (Human),1182
ACKR3,P25106,reviewed,ACKR3_HUMAN,"Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7, CXC-R7, CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog, RDC-1)",ACKR3 CMKOR1 CXCR7 GPR159 RDC1,Homo sapiens (Human),362
ACSL3,O95573,reviewed,ACSL3_HUMAN,"Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase, EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3, LACS 3) (Long-chain-fatty-acid--CoA ligase 3, EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3, EC 6.2.1.2)",ACSL3 ACS3 FACL3 LACS3,Homo sapiens (Human),720
ACSL6,Q9UKU0,reviewed,ACSL6_HUMAN,"Long-chain-fatty-acid--CoA ligase 6, EC 6.2.1.3 (Arachidonate--CoA ligase, EC 6.2.1.15) (Long-chain acyl-CoA synthetase 6, LACS 6)",ACSL6 ACS2 FACL6 KIAA0837 LACS5,Homo sapiens (Human),697
ACVR1,Q04771,reviewed,ACVR1_HUMAN,"Activin receptor type-1, EC 2.7.11.30 (Activin receptor type I, ACTR-I) (Activin receptor-like kinase 2, ALK-2) (Serine/threonine-protein kinase receptor R1, SKR1) (TGF-B superfamily receptor type I, TSR-I)",ACVR1 ACVRLK2,Homo sapiens (Human),509
ACVR1B,P36896,reviewed,ACV1B_HUMAN,"Activin receptor type-1B, EC 2.7.11.30 (Activin receptor type IB, ACTR-IB) (Activin receptor-like kinase 4, ALK-4) (Serine/threonine-protein kinase receptor R2, SKR2)",ACVR1B ACVRLK4 ALK4,Homo sapiens (Human),505
ACVR2A,P27037,reviewed,AVR2A_HUMAN,"Activin receptor type-2A, EC 2.7.11.30 (Activin receptor type IIA, ACTR-IIA, ACTRIIA)",ACVR2A ACVR2,Homo sapiens (Human),513
AFDN,P55196,reviewed,AFAD_HUMAN,"Afadin (ALL1-fused gene from chromosome 6 protein, Protein AF-6) (Afadin adherens junction formation factor)",AFDN AF6 MLLT4,Homo sapiens (Human),1824
