From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),PubMed ID
PSCA,O43653,reviewed,PSCA_HUMAN,Prostate stem cell antigen,PSCA UNQ206/PRO232,Homo sapiens (Human),114,extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886]; acetylcholine receptor binding [GO:0033130]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; regulation of neurotransmitter receptor activity [GO:0099601],negative regulation of ERK1 and ERK2 cascade [GO:0070373]; regulation of neurotransmitter receptor activity [GO:0099601],extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886],acetylcholine receptor binding [GO:0033130],9465086; 10973799; 16421571; 12975309; 15489334; 15340161; 10713670; 18488030; 19648920; 25680266
CNIH4,Q9P003,reviewed,CNIH4_HUMAN,Protein cornichon homolog 4 (CNIH-4) (Cornichon family AMPA receptor auxiliary protein 4),CNIH4 HSPC163,Homo sapiens (Human),139,COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; CCR5 chemokine receptor binding [GO:0031730]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031],endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031],COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793],CCR5 chemokine receptor binding [GO:0031730],11042152; 11230166; 14702039; 15489334; 21269460; 24405750
KHDRBS1,Q07666,reviewed,KHDR1_HUMAN,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)",KHDRBS1 SAM68,Homo sapiens (Human),443,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; Grb2-Sos complex [GO:0070618]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; protein domain specific binding [GO:0019904]; protein tyrosine kinase binding [GO:1990782]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]; signaling adaptor activity [GO:0035591]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; mRNA processing [GO:0006397]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of RNA export from nucleus [GO:0046833]; positive regulation of translational initiation [GO:0045948]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of RNA export from nucleus [GO:0046831]; spermatogenesis [GO:0007283]; T cell receptor signaling pathway [GO:0050852]","G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; mRNA processing [GO:0006397]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of RNA export from nucleus [GO:0046833]; positive regulation of translational initiation [GO:0045948]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of RNA export from nucleus [GO:0046831]; spermatogenesis [GO:0007283]; T cell receptor signaling pathway [GO:0050852]",cytoplasm [GO:0005737]; cytosol [GO:0005829]; Grb2-Sos complex [GO:0070618]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991],DNA binding [GO:0003677]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; protein domain specific binding [GO:0019904]; protein tyrosine kinase binding [GO:1990782]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]; signaling adaptor activity [GO:0035591],1374686; 9013542; 14702039; 16710414; 15489334; 9045636; 10332027; 10913193; 11585385; 12529443; 15782174; 15021911; 16179349; 17081983; 17890166; 17371836; 17924679; 18220336; 18691976; 18669648; 19690332; 19608861; 20186123; 20068231; 21269460; 21613532; 21406692; 22253824; 23186163; 24514149; 24275569; 24129315; 25218447; 25114211; 25772364; 25755297; 25944712; 26758068; 28112733; 29496907; 20610388; 22000517
GDPD4,Q6W3E5,reviewed,GDPD4_HUMAN,Glycerophosphodiester phosphodiesterase domain-containing protein 4 (EC 3.1.-.-) (Glycerophosphodiester phosphodiesterase 6) (UgpQ),GDPD4 GDE6 UGPQ,Homo sapiens (Human),623,membrane [GO:0016020]; glycerophosphodiester phosphodiesterase activity [GO:0008889]; metal ion binding [GO:0046872]; lipid metabolic process [GO:0006629],lipid metabolic process [GO:0006629],membrane [GO:0016020],glycerophosphodiester phosphodiesterase activity [GO:0008889]; metal ion binding [GO:0046872],21248752
ZNF705D,P0CH99,reviewed,Z705D_HUMAN,Zinc finger protein 705D,ZNF705D,Homo sapiens (Human),300,"nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357]",negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357],nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]",16421571; 15489334
ELOVL6,Q9H5J4,reviewed,ELOV6_HUMAN,Elongation of very long chain fatty acids protein 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL6) (ELOVL fatty acid elongase 6) (ELOVL FA elongase 6) (Fatty acid elongase 2) (hELO2) (Fatty acyl-CoA elongase) (Long-chain fatty-acyl elongase) (Very long chain 3-ketoacyl-CoA synthase 6) (Very long chain 3-oxoacyl-CoA synthase 6),ELOVL6 FACE LCE,Homo sapiens (Human),265,"endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fatty acid elongase complex [GO:0009923]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]; fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, polyunsaturated fatty acid [GO:0034626]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty acid biosynthetic process [GO:0042759]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; positive regulation of cold-induced thermogenesis [GO:0120162]; sphingolipid biosynthetic process [GO:0030148]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]","fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, polyunsaturated fatty acid [GO:0034626]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty acid biosynthetic process [GO:0042759]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; positive regulation of cold-induced thermogenesis [GO:0120162]; sphingolipid biosynthetic process [GO:0030148]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]",endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fatty acid elongase complex [GO:0009923],fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756],14702039; 15815621; 15489334; 19575253; 20937905; 25003994; 26214738
CYB561D1,Q8N8Q1,reviewed,C56D1_HUMAN,Probable transmembrane reductase CYB561D1 (EC 7.2.1.3) (Cytochrome b561 domain-containing protein 1),CYB561D1,Homo sapiens (Human),229,membrane [GO:0016020]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; transmembrane ascorbate ferrireductase activity [GO:0140571]; transmembrane monodehydroascorbate reductase activity [GO:0140575],,membrane [GO:0016020],heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; transmembrane ascorbate ferrireductase activity [GO:0140571]; transmembrane monodehydroascorbate reductase activity [GO:0140575],14702039; 16344560; 16710414; 15489334
CNP,P09543,reviewed,CN37_HUMAN,"2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)",CNP,Homo sapiens (Human),421,"cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; melanosome [GO:0042470]; membrane [GO:0016020]; microtubule [GO:0005874]; microvillus [GO:0005902]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; myelin sheath abaxonal region [GO:0035748]; myelin sheath adaxonal region [GO:0035749]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; pseudopodium [GO:0031143]; synapse [GO:0045202]; 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]; cyclic nucleotide binding [GO:0030551]; RNA binding [GO:0003723]; adult locomotory behavior [GO:0008344]; aging [GO:0007568]; axonogenesis [GO:0007409]; chemical synaptic transmission [GO:0007268]; cyclic nucleotide catabolic process [GO:0009214]; forebrain development [GO:0030900]; microtubule cytoskeleton organization [GO:0000226]; oligodendrocyte differentiation [GO:0048709]; regulation of mitochondrial membrane permeability [GO:0046902]; response to lipopolysaccharide [GO:0032496]; response to toxic substance [GO:0009636]; substantia nigra development [GO:0021762]",adult locomotory behavior [GO:0008344]; aging [GO:0007568]; axonogenesis [GO:0007409]; chemical synaptic transmission [GO:0007268]; cyclic nucleotide catabolic process [GO:0009214]; forebrain development [GO:0030900]; microtubule cytoskeleton organization [GO:0000226]; oligodendrocyte differentiation [GO:0048709]; regulation of mitochondrial membrane permeability [GO:0046902]; response to lipopolysaccharide [GO:0032496]; response to toxic substance [GO:0009636]; substantia nigra development [GO:0021762],cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; melanosome [GO:0042470]; membrane [GO:0016020]; microtubule [GO:0005874]; microvillus [GO:0005902]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; myelin sheath abaxonal region [GO:0035748]; myelin sheath adaxonal region [GO:0035749]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; pseudopodium [GO:0031143]; synapse [GO:0045202],"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]; cyclic nucleotide binding [GO:0030551]; RNA binding [GO:0003723]",1385234; 2835044; 8392017; 1360194; 16625196; 15489334; 9268698; 12643545; 17081065; 19413330; 21269460; 23186163; 24275569; 25944712; 15713463; 32128616
CSN1S1,P47710,reviewed,CASA1_HUMAN,Alpha-S1-casein [Cleaved into: Casoxin-D],CSN1S1 CASA CSN1,Homo sapiens (Human),185,extracellular region [GO:0005576]; extracellular space [GO:0005615]; response to 11-deoxycorticosterone [GO:1903496]; response to dehydroepiandrosterone [GO:1903494]; response to estradiol [GO:0032355]; response to progesterone [GO:0032570],response to 11-deoxycorticosterone [GO:1903496]; response to dehydroepiandrosterone [GO:1903494]; response to estradiol [GO:0032355]; response to progesterone [GO:0032570],extracellular region [GO:0005576]; extracellular space [GO:0005615],,7619062; 15815621; 15489334; 8192860; 7749638; 17646876; 18847231; 12919330; 9050925; 20068231
ANKRD30A,Q9BXX3,reviewed,AN30A_HUMAN,Ankyrin repeat domain-containing protein 30A (Serologically defined breast cancer antigen NY-BR-1),ANKRD30A,Homo sapiens (Human),1397,,,,,15164054; 11280766; 16364570; 16959974
