From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A1CF	Q9NQ94	reviewed	A1CF_HUMAN	APOBEC1 complementation factor (APOBEC1-stimulating protein)	A1CF ACF ASP	Homo sapiens (Human)	594
A1CF	F8W9F8	unreviewed	F8W9F8_HUMAN	APOBEC1 complementation factor	A1CF	Homo sapiens (Human)	602
A1CF	Q5T0W7	unreviewed	Q5T0W7_HUMAN	Probable RNA-binding protein 46 (RNA-binding motif protein 46)	A1CF	Homo sapiens (Human)	201
A1CF	Q7Z2U9	unreviewed	Q7Z2U9_HUMAN	A1CF protein	A1CF	Homo sapiens (Human)	122
ABI1	Q8IZP0	reviewed	ABI1_HUMAN	"Abl interactor 1 (Abelson interactor 1, Abi-1) (Abl-binding protein 4, AblBP4) (Eps8 SH3 domain-binding protein, Eps8-binding protein) (Nap1-binding protein, Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)"	ABI1 SSH3BP1	Homo sapiens (Human)	508
ABI1	A0A0A0MRT6	unreviewed	A0A0A0MRT6_HUMAN	Abl interactor 1	ABI1	Homo sapiens (Human)	475
ABI1	B6VEX4	unreviewed	B6VEX4_HUMAN	Abl interactor 1 (Abl-interactor 1 variant 21)	ABI1	Homo sapiens (Human)	393
ABI1	L8EC66	unreviewed	L8EC66_HUMAN	Alternative protein ABI1	ABI1	Homo sapiens (Human)	62
ABL1	P00519	reviewed	ABL1_HUMAN	"Tyrosine-protein kinase ABL1, EC 2.7.10.2 (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)"	ABL1 ABL JTK7	Homo sapiens (Human)	1130
ABL1	A0A024R8E2	unreviewed	A0A024R8E2_HUMAN	"Tyrosine-protein kinase, EC 2.7.10.2"	ABL1 hCG_28416	Homo sapiens (Human)	1130
ABL1	A0A0U4EGU4	unreviewed	A0A0U4EGU4_HUMAN	BCR/ABL1 fusion protein	abl1 bcr	Homo sapiens (Human)	107
ABL1	Q13688	unreviewed	Q13688_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	64
ABL1	Q13689	unreviewed	Q13689_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	46
