From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	PubMed ID
PSCA	O43653	reviewed	PSCA_HUMAN	Prostate stem cell antigen	PSCA UNQ206/PRO232	Homo sapiens (Human)	114	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886]; acetylcholine receptor binding [GO:0033130]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; regulation of neurotransmitter receptor activity [GO:0099601]	negative regulation of ERK1 and ERK2 cascade [GO:0070373]; regulation of neurotransmitter receptor activity [GO:0099601]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886]	acetylcholine receptor binding [GO:0033130]	9465086; 10973799; 16421571; 12975309; 15489334; 15340161; 10713670; 18488030; 19648920; 25680266
PSCA	D3DWI6	unreviewed	D3DWI6_HUMAN	Prostate stem cell antigen, isoform CRA_a	PSCA hCG_38735	Homo sapiens (Human)	114	plasma membrane [GO:0005886]		plasma membrane [GO:0005886]		11181995
PSCA	H0YAA6	unreviewed	H0YAA6_HUMAN	Prostate stem cell antigen	PSCA	Homo sapiens (Human)	54					16421571
CNIH4	Q9P003	reviewed	CNIH4_HUMAN	Protein cornichon homolog 4 (CNIH-4) (Cornichon family AMPA receptor auxiliary protein 4)	CNIH4 HSPC163	Homo sapiens (Human)	139	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; CCR5 chemokine receptor binding [GO:0031730]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	CCR5 chemokine receptor binding [GO:0031730]	11042152; 11230166; 14702039; 15489334; 21269460; 24405750
CNIH4	A6NJ96	unreviewed	A6NJ96_HUMAN	Protein cornichon homolog 4	CNIH4	Homo sapiens (Human)	90	membrane [GO:0016020]; vesicle-mediated transport [GO:0016192]	vesicle-mediated transport [GO:0016192]	membrane [GO:0016020]		16710414
CNIH4	A6NLH6	unreviewed	A6NLH6_HUMAN	Protein cornichon homolog 4	CNIH4	Homo sapiens (Human)	137	membrane [GO:0016020]; vesicle-mediated transport [GO:0016192]	vesicle-mediated transport [GO:0016192]	membrane [GO:0016020]		16710414; 21269460
KHDRBS1	Q07666	reviewed	KHDR1_HUMAN	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	KHDRBS1 SAM68	Homo sapiens (Human)	443	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Grb2-Sos complex [GO:0070618]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; protein domain specific binding [GO:0019904]; protein tyrosine kinase binding [GO:1990782]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]; signaling adaptor activity [GO:0035591]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; mRNA processing [GO:0006397]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of RNA export from nucleus [GO:0046833]; positive regulation of translational initiation [GO:0045948]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of RNA export from nucleus [GO:0046831]; spermatogenesis [GO:0007283]; T cell receptor signaling pathway [GO:0050852]	G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; mRNA processing [GO:0006397]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of RNA export from nucleus [GO:0046833]; positive regulation of translational initiation [GO:0045948]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of RNA export from nucleus [GO:0046831]; spermatogenesis [GO:0007283]; T cell receptor signaling pathway [GO:0050852]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Grb2-Sos complex [GO:0070618]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; protein domain specific binding [GO:0019904]; protein tyrosine kinase binding [GO:1990782]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]; signaling adaptor activity [GO:0035591]	1374686; 9013542; 14702039; 16710414; 15489334; 9045636; 10332027; 10913193; 11585385; 12529443; 15782174; 15021911; 16179349; 17081983; 17890166; 17371836; 17924679; 18220336; 18691976; 18669648; 19690332; 19608861; 20186123; 20068231; 21269460; 21613532; 21406692; 22253824; 23186163; 24514149; 24275569; 24129315; 25218447; 25114211; 25772364; 25755297; 25944712; 26758068; 28112733; 29496907; 20610388; 22000517
KHDRBS1	B4E043	unreviewed	B4E043_HUMAN	KH domain containing, RNA binding, signal transduction associated 1, isoform CRA_b (cDNA FLJ52899, highly similar to KH domain-containing, RNA-binding, signaltransduction-associated protein 1)	KHDRBS1 hCG_41606	Homo sapiens (Human)	347	RNA binding [GO:0003723]; SH3 domain binding [GO:0017124]			RNA binding [GO:0003723]; SH3 domain binding [GO:0017124]	11181995
GDPD4	Q6W3E5	reviewed	GDPD4_HUMAN	Glycerophosphodiester phosphodiesterase domain-containing protein 4 (EC 3.1.-.-) (Glycerophosphodiester phosphodiesterase 6) (UgpQ)	GDPD4 GDE6 UGPQ	Homo sapiens (Human)	623	membrane [GO:0016020]; glycerophosphodiester phosphodiesterase activity [GO:0008889]; metal ion binding [GO:0046872]; lipid metabolic process [GO:0006629]	lipid metabolic process [GO:0006629]	membrane [GO:0016020]	glycerophosphodiester phosphodiesterase activity [GO:0008889]; metal ion binding [GO:0046872]	21248752
ZNF705D	P0CH99	reviewed	Z705D_HUMAN	Zinc finger protein 705D	ZNF705D	Homo sapiens (Human)	300	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357]	negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357]	nucleus [GO:0005634]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	16421571; 15489334
